,No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
91,92,BCS,0.63%,0.13%,17.48%,-0.63%,-0.75%,1.67%,1.53%,1.51%,3.50,9.67M,0.91,7.93,0.13%,8804747
92,93,BDX,2.83%,2.93%,9.78%,1.81%,9.22%,1.70%,1.40%,1.57%,2.10,1.12M,1.32,258.63,0.96%,1481696
93,94,BEKE,1.68%,4.17%,-10.54%,17.92%,8.78%,21.63%,4.09%,5.14%,1.80,7.71M,1.03,16.98,-0.59%,7937395
94,95,BEN,2.28%,10.26%,2.66%,-0.48%,13.41%,2.24%,2.57%,2.16%,3.50,3.19M,1.02,26.97,-1.21%,3236943
95,96,BF-A,1.61%,4.25%,7.73%,-2.80%,5.04%,1.75%,2.16%,1.73%,-,41.89K,8.38,66.91,-0.93%,351009
96,97,BF-B,1.65%,3.32%,6.07%,-5.13%,-2.52%,-0.43%,1.69%,1.81%,3.20,1.35M,1.97,65.4,0.31%,2667339
97,98,BG,3.00%,7.51%,4.69%,0.21%,-7.21%,-3.35%,3.32%,3.48%,1.80,1.31M,2.13,96.43,2.37%,2803253
98,99,BGNE,-7.33%,-13.33%,-10.35%,-4.32%,46.42%,-8.97%,4.52%,3.90%,1.70,195.03K,2.82,200.21,-0.41%,550005
99,100,BHP,5.88%,6.81%,9.67%,1.22%,1.97%,1.80%,1.46%,1.36%,1.70,2.82M,1.02,63.17,-1.27%,2867132
100,101,BIDU,7.33%,11.18%,-1.18%,21.72%,0.20%,26.87%,3.26%,3.35%,1.8,2.98M,0.95,145.11,-2.42%,2842350
101,102,BIIB,-3.69%,-3.29%,12.15%,2.14%,53.20%,7.42%,3.26%,2.29%,2.0,984.25K,1.94,297.48,-0.12%,1914252
102,103,BILL,-3.47%,15.51%,51.09%,-10.17%,-1.81%,2.11%,3.90%,4.92%,2.1,1.99M,1.09,111.26,-2.80%,2161262
103,104,BIO,4.30%,-1.02%,-19.86%,-12.41%,-21.62%,-10.45%,3.03%,2.62%,1.7,196.43K,2.61,376.56,-0.66%,513109
104,105,BIP,-4.12%,-3.33%,9.09%,4.30%,-10.87%,14.26%,2.20%,1.91%,2.2,339.97K,1.47,35.41,-3.30%,499307
105,106,BK,0.50%,9.81%,4.86%,-0.65%,6.64%,-1.91%,2.21%,2.01%,2.2,5.29M,2.39,44.65,-0.49%,12628224
106,107,BKNG,1.34%,-2.07%,8.20%,31.60%,33.84%,31.05%,2.29%,2.50%,2.3,319.32K,2.59,2640.99,-1.15%,828632
107,108,BKR,1.87%,11.24%,13.56%,5.49%,-3.69%,3.52%,2.62%,2.79%,2.1,7.22M,1.73,30.57,1.09%,12498282
108,109,BLDR,-0.55%,1.08%,51.59%,79.47%,118.91%,87.13%,3.29%,3.06%,2.0,2.43M,3.22,121.41,-1.30%,7814256
109,110,BLK,2.69%,8.01%,10.38%,-1.23%,17.15%,-0.83%,1.88%,1.86%,2.0,638.76K,2.01,702.78,-1.18%,1280969
110,111,BMO,3.49%,1.36%,5.82%,0.02%,-10.10%,-0.43%,1.50%,1.71%,2.7,589.47K,0.83,90.21,0.55%,489824
111,112,BMRN,5.38%,4.36%,5.04%,-11.16%,29.86%,-6.96%,1.80%,2.10%,2.2,1.09M,1.31,96.29,0.47%,1423791
112,113,BMY,2.10%,-0.56%,-0.56%,-14.23%,-9.39%,-8.05%,1.64%,1.64%,2.4,7.94M,2.44,66.16,2.30%,19344176
113,114,BN,6.07%,7.98%,17.19%,-0.12%,-9.94%,6.61%,1.71%,2.14%,2.2,2.32M,1.14,33.54,0.27%,2642681
114,115,BNS,1.25%,0.72%,4.67%,1.97%,-20.14%,2.41%,1.32%,1.40%,2.9,1.30M,0.88,50.16,-0.59%,1147773
115,116,BNTX,3.02%,7.04%,-13.18%,-39.51%,-18.44%,-25.08%,3.73%,3.28%,2.1,717.05K,0.93,112.55,-0.40%,663599
116,117,BP,-0.34%,-1.81%,0.51%,1.58%,13.96%,1.20%,1.73%,1.54%,2.1,8.64M,0.79,35.35,-0.08%,6858310
117,118,BR,4.52%,5.28%,18.97%,14.16%,16.56%,19.88%,1.68%,1.83%,2.8,643.12K,1.8,160.8,0.69%,1159028
118,119,BRK-A,0.62%,2.68%,16.09%,9.82%,22.79%,9.66%,2.08%,1.67%,2.5,5.73K,1.14,514000.0,-0.46%,6534
119,120,BRK-B,0.90%,3.34%,15.26%,9.38%,21.29%,9.52%,1.41%,1.25%,2.7,3.49M,2.43,338.31,-0.44%,8461113
120,121,BRKR,0.91%,1.64%,4.57%,13.69%,23.33%,10.43%,3.44%,3.06%,2.10,902.55K,1.72,75.48,0.19%,1553683
121,122,BRO,3.47%,1.36%,23.14%,13.89%,20.59%,16.29%,1.62%,1.59%,2.40,1.26M,1.55,66.25,0.30%,1946063
122,123,BSBR,0.47%,4.93%,33.26%,34.51%,12.09%,22.28%,2.70%,2.21%,3.20,1.06M,0.93,6.39,-0.16%,989826
123,124,BSX,5.93%,1.70%,13.28%,15.13%,50.76%,17.40%,1.60%,1.72%,1.80,9.25M,1.41,54.32,0.63%,13015827
124,125,BSY,5.23%,16.74%,30.04%,35.36%,64.83%,44.18%,2.12%,2.26%,1.90,909.72K,1.9,53.29,-1.35%,1724131
125,126,BTI,0.92%,-1.77%,-8.30%,-20.17%,-23.73%,-17.91%,1.32%,1.17%,1.00,4.76M,1.01,32.82,-0.15%,4818460
126,127,BTO,-2.35%,10.56%,-1.24%,-13.53%,-18.54%,-16.36%,4.07%,4.37%,-,96.27K,1.49,27.86,1.90%,143247
127,128,BUD,5.53%,-0.94%,-2.84%,-4.79%,10.16%,-3.05%,1.51%,1.31%,2.60,2.60M,1.36,58.21,-0.61%,3547631
128,129,BWA,6.00%,9.43%,6.25%,18.08%,35.83%,20.75%,2.17%,2.63%,2.30,2.37M,2.0,48.6,0.66%,4733941
129,130,BX,3.33%,8.85%,7.35%,13.06%,-5.47%,22.83%,2.64%,3.03%,2.00,4.65M,1.22,91.13,-1.64%,5652892
130,131,C,-0.23%,2.36%,8.90%,4.81%,1.28%,6.54%,2.05%,2.02%,2.50,16.97M,1.07,48.19,-0.76%,18204030
131,132,CAG,0.76%,-5.59%,-2.48%,-9.98%,8.32%,-10.49%,1.71%,1.86%,2.60,4.48M,1.03,34.64,-0.43%,4595105
132,133,CAH,5.16%,5.42%,31.07%,16.17%,78.78%,18.71%,1.97%,1.91%,2.70,2.21M,2.32,91.25,2.34%,5132748
133,134,CARR,3.49%,9.28%,7.15%,7.03%,27.50%,13.65%,2.33%,2.49%,2.40,5.76M,1.66,46.88,0.73%,9582853
134,135,CAT,4.36%,15.64%,14.07%,4.60%,19.06%,2.38%,2.51%,2.62%,2.70,3.26M,1.6,245.27,-0.97%,5209376
135,136,CB,1.98%,-2.01%,4.36%,-10.09%,-2.18%,-11.63%,1.89%,1.67%,2.10,1.78M,1.9,194.94,1.92%,3376661
136,137,CBOE,-0.77%,0.58%,9.41%,12.89%,25.19%,9.48%,2.22%,1.91%,2.50,668.27K,1.66,137.36,-0.52%,1108959
137,138,CBRE,-1.43%,3.25%,5.33%,-2.01%,8.98%,1.10%,2.19%,2.30%,2.20,1.91M,1.78,77.81,-1.09%,3406437
138,139,CCEP,2.54%,-1.42%,18.62%,18.93%,27.91%,18.13%,1.61%,1.48%,2.10,1.09M,1.8,65.35,-0.41%,1962455
139,140,CCI,0.57%,0.14%,-12.01%,-16.64%,-28.00%,-15.50%,2.07%,2.20%,2.50,2.24M,1.78,114.61,-1.95%,3981529
140,141,CCJ,3.25%,16.42%,27.35%,43.45%,41.09%,40.10%,3.79%,4.20%,1.40,4.18M,1.03,31.76,0.38%,4296991
141,142,CCK,6.02%,9.12%,15.85%,6.35%,-7.33%,8.03%,2.69%,2.71%,2.10,985.31K,20.78,88.81,2.37%,20478600
142,143,CCL,20.70%,43.12%,84.80%,76.93%,60.57%,96.03%,5.34%,4.26%,2.40,39.42M,1.29,15.8,-1.99%,50985481
143,144,CDAY,5.74%,10.40%,-3.57%,-2.99%,42.09%,4.57%,3.48%,3.27%,2.30,1.38M,1.64,67.08,-1.06%,2256607
144,145,CDNS,2.85%,15.52%,14.00%,42.53%,59.65%,46.81%,2.47%,2.95%,1.90,1.88M,2.66,235.84,-0.81%,5005890
145,146,CDW,4.52%,2.83%,-5.26%,-7.23%,8.73%,-0.24%,1.70%,1.79%,2.00,962.19K,1.59,178.15,-0.03%,1527771
146,147,CE,0.33%,7.84%,10.68%,7.57%,-15.17%,11.50%,2.89%,2.81%,2.50,1.33M,1.69,114.0,-2.40%,2258082
147,148,CEG,-0.43%,15.55%,21.00%,2.25%,59.60%,7.75%,1.65%,2.12%,2.20,2.21M,2.25,92.89,-0.61%,4961890
